"Event","White","Black","Result","UTCDate","UTCTime","WhiteElo","BlackElo","WhiteRatingDiff","BlackRatingDiff","ECO","Opening","TimeControl","Termination","AN"
" Classical ","Nuprow","MrezaNargesi","1-0","2016.07.01","13:04:18","1996","1976","10.0","-10.0","C03","French Defense: Tarrasch Variation, Morozevich Variation","900+10","Normal","1. e4 e6 2. d4 d5 3. Nd2 Be7 4. exd5 exd5 5. Ngf3 Nf6 6. Bd3 O-O 7. O-O Bg4 8. h3 Bh5 9. Re1 c6 10. c3 Qc7 11. Nf1 Ne4 12. Bxe4 dxe4 13. Rxe4 Bg6 14. Re1 Nd7 15. Ng3 Nf6 16. Nh4 Rfe8 17. Nxg6 fxg6 18. Qf3 Bd6 19. Bg5 Nd5 20. Ne4 Rf8 21. Qg4 Bh2+ 22. Kh1 Bf4 23. c4 Nb4 24. Bxf4 Rxf4 25. Qe2 Re8 26. f3 Rd8 27. Qd2 Na6 28. Qc3 Rdf8 29. Rad1 Rh4 30. Qd2 Qd7 31. Rf1 Rff4 32. d5 c5 33. d6 b6 34. Qd5+ Rf7 35. Ng5 Nb4 36. Qxf7+ Qxf7 37. Nxf7 Kxf7 38. d7 Nc6 39. d8=R Nxd8 40. Rxd8 Rd4 41. Rxd4 cxd4 42. Rd1 Ke6 43. Rxd4 g5 44. Kg1 h5 45. Kf2 h4 46. Ke3 g6 47. Rd5 a6 48. Rxg5 Kf6 49. Rg4 1-0"
" Blitz ","sakuram","hamidlll","1-0","2016.07.01","13:04:12","1533","1239","3.0","-4.0","A40","Englund Gambit","300+0","Normal","1. d4 e5 2. g3 d6 3. dxe5 d5 4. e4 d4 5. c3 Bc5 6. cxd4 Bxd4 7. Ne2 f6 8. exf6 Bb6 9. Qxd8+ Kxd8 10. fxg7 Ba5+ 11. Kd1 Nf6 12. gxh8=Q+ Ne8 13. Bg5+ Kd7 14. Qxh7+ Kc6 15. Nd4+ Kc5 16. Be3 Nf6 17. Qe7+ Kb6 18. Ne6+ c5 19. Qxc5# 1-0"
" Blitz ","spc19","MPronin","1-0","2016.07.01","13:04:17","1695","1425","5.0","-14.0","A43","Old Benoni Defense","240+2","Normal","1. d4 c5 2. e3 cxd4 3. exd4 Nf6 4. Bd3 e6 5. f4 d5 6. Nf3 Be7 7. O-O Nc6 8. c3 Bd7 9. Ne5 g6 10. Nd2 O-O 11. Ndf3 a6 12. Nxc6 bxc6 13. Ne5 c5 14. Be3 c4 15. Bc2 Bc8 16. Qf3 Qb6 17. Rab1 Nd7 18. Qh3 Nxe5 19. fxe5 Qd8 20. Rf2 Bg5 21. Bxg5 Qxg5 22. Rbf1 Ra7 23. Rf6 h5 24. Qf3 Kg7 25. h3 Qd2 26. Rf2 Qc1+ 27. Kh2 Qxb2 28. Bxg6 Qc1 29. Bxh5 Rb7 30. Qg4+ Kh8 31. R2f4 Rg8 32. Rh6# 1-0"
" Classical ","bluefrog199","hmza","0-1","2016.07.01","13:04:17","1557","1868","-3.0","4.0","C10","French Defense: Paulsen Variation","900+10","Normal","1. e4 e6 2. d4 d5 3. Nc3 c6 4. Nf3 Bb4 5. Bd2 Bxc3 6. Bxc3 dxe4 7. Nd2 e3 8. fxe3 Ne7 9. Qh5 O-O 10. Bd3 g6 11. Qh4 Nd5 12. Qe4 Nd7 13. O-O-O Nxc3 14. bxc3 Qa5 15. Kb2 Nb6 16. Nc4 Na4+ 17. Kb3 Qb5+ 18. Ka3 Nxc3 19. Qg4 Qa4+ 20. Kb2 Nxd1+ 21. Qxd1 Qb4+ 22. Ka1 a5 23. Ne5 a4 24. Qb1 Qa5 25. Qb2 a3 26. Qb3 Qc7 27. g4 c5 28. h4 cxd4 29. exd4 Rd8 30. Rf1 Rxd4 31. Rxf7 Qxe5 32. Re7 Rb4+ 33. Kb1 Rxb3+ 34. cxb3 Qb2# 0-1"
" Classical ","nomadicsleep","MARK_YAN","1-0","2016.07.01","13:04:18","1144","1145","11.0","-14.0","C40","King's Knight Opening","1800+10","Normal","1. e4 e5 2. Nf3 Qg5 3. Nxg5 1-0"
" Blitz ","stevie76","rezamoh","0-1","2016.07.01","13:04:14","2019","2080","-8.0","47.0","D05","Colle System","180+2","Time forfeit","1. d4 { [%eval 0.24] } 1... Nf6 { [%eval 0.29] } 2. e3 { [%eval 0.1] } 2... e6 { [%eval 0.15] } 3. Nf3 { [%eval 0.08] } 3... d5 { [%eval 0.12] } 4. Ne5 { [%eval -0.2] } 4... Bd6 { [%eval -0.29] } 5. f4 { [%eval -0.34] } 5... c5 { [%eval -0.33] } 6. c3 { [%eval -0.39] } 6... Ne4 { [%eval -0.33] } 7. Qf3 { [%eval -0.31] } 7... O-O { [%eval -0.36] } 8. Bd3 { [%eval -0.39] } 8... f5 { [%eval -0.38] } 9. O-O { [%eval -0.44] } 9... Qb6 { [%eval -0.23] } 10. Nd2?! { [%eval -0.83] } 10... Nxd2 { [%eval -0.81] } 11. Bxd2 { [%eval -0.86] } 11... Qxb2 { [%eval -0.74] } 12. Qe2? { [%eval -1.88] } 12... c4 { [%eval -1.69] } 13. Bxc4?! { [%eval -2.33] } 13... dxc4 { [%eval -2.38] } 14. Nxc4 { [%eval -2.69] } 14... Qb5 { [%eval -2.62] } 15. a4 { [%eval -2.56] } 15... Qd7?! { [%eval -1.91] } 16. e4 { [%eval -2.32] } 16... fxe4 { [%eval -2.26] } 17. Qxe4 { [%eval -2.52] } 17... Nc6?! { [%eval -1.87] } 18. Ne5?! { [%eval -2.81] } 18... Bxe5 { [%eval -2.74] } 19. fxe5 { [%eval -2.72] } 19... b6? { [%eval 0.0] } 20. Rxf8+ { [%eval 0.0] } 20... Kxf8 { [%eval -1.46] } 21. Rf1+? { [%eval -2.83] } 21... Kg8 { [%eval -2.81] } 22. Qf4 { [%eval -2.86] } 22... Bb7 { [%eval -2.83] } 23. Bc1 { [%eval -2.76] } 23... Qe7? { [%eval -1.56] } 24. Qg4? { [%eval -2.89] } 24... Na5 { [%eval -2.91] } 25. Bg5 { [%eval -2.97] } 25... Qd7 { [%eval -2.96] } 26. Bf6?! { [%eval -3.51] } 26... Nc4 { [%eval -3.21] } 27. Rf3?? { [%eval -7.46] } 27... Bxf3 { [%eval -7.35] } 28. gxf3 { [%eval -7.37] } 28... Ne3 { [%eval -7.4] } 29. Qe4 { [%eval -6.98] } 29... gxf6?? { [%eval -3.74] } 30. Qxa8+ { [%eval -3.7] } 30... Kg7 { [%eval -3.54] } 31. Qe4?! { [%eval -4.39] } 31... Nc4? { [%eval -2.94] } 32. exf6+ { [%eval -3.06] } 32... Kxf6 { [%eval -2.81] } 33. Qh4+ { [%eval -3.03] } 33... Kg7 { [%eval -2.93] } 34. Qg4+ { [%eval -3.16] } 34... Kh8 { [%eval -2.93] } 35. Qf4 { [%eval -2.87] } 35... Qg7+ { [%eval -2.6] } 36. Kf2 { [%eval -2.71] } 36... e5? { [%eval -1.7] } 37. Qg4? { [%eval -4.26] } 37... Qxg4 { [%eval -4.27] } 38. fxg4 { [%eval -4.28] } 38... exd4 { [%eval -4.18] } 39. cxd4 { [%eval -4.1] } 39... Kg7 { [%eval -3.81] } 40. Kf3 { [%eval -4.15] } 40... Kf6 { [%eval -3.94] } 41. h4?! { [%eval -4.92] } 41... Nb2 { [%eval -4.65] } 42. a5 { [%eval -5.12] } 42... bxa5 { [%eval -5.05] } 43. Ke4?? { [%eval -14.85] } 43... a4 { [%eval -14.25] } 0-1"
" Blitz ","ENTERPRISE34","ecam","0-1","2016.07.01","13:04:18","2030","1831","-17.0","17.0","B30","Sicilian Defense: Old Sicilian","300+0","Normal","1. e4 c5 2. Nf3 Nc6 3. c3 e5 4. Bb5 a6 5. Bxc6 bxc6 6. d4 cxd4 7. cxd4 exd4 8. Qxd4 Nf6 9. Nc3 Qa5 10. O-O Be7 11. Bd2 Qh5 12. e5 c5 13. Qe3 Ng4 14. Qe4 Rb8 15. h3 Nh6 16. Bf4 Bb7 17. Nd5 Bc6 18. b3 Rb4 19. Nc7+ Kd8 20. Qe3 Kxc7 21. e6+ Rxf4 22. Qxf4+ d6 23. exf7 Qxf7 24. Qxf7 Nxf7 25. Nd2 d5 26. Rfe1 Bd6 27. Rac1 Ne5 28. f4 Nd3 29. Rcd1 Nxe1 30. Rxe1 Re8 31. Rxe8 Bxe8 32. g3 h5 33. Kf2 h4 34. Nf3 hxg3+ 35. Kxg3 g5 36. Nxg5 d4 37. Kf3 Bh5+ 38. Ke4 Kc6 39. f5 Bf8 40. f6 Bg6+ 41. Kf3 d3 42. Ke3 Bh6 43. h4 Bxg5+ 44. hxg5 Kd5 45. Kd2 Kd4 46. a3 a5 47. a4 Bf7 48. Kd1 Kc3 49. Kc1 Kxb3 50. Kd2 c4 51. Ke3 Kc2 52. Kf2 d2 0-1"
" Blitz ","RAILEI","barezi1975","0-1","2016.07.01","13:04:18","1785","1619","-15.0","16.0","A06","Zukertort Opening: Tennison Gambit","240+0","Normal","1. e4 d5 2. Nf3 dxe4 3. Ng5 h6 4. Nxe4 Nf6 5. Nxf6+ exf6 6. Be2 Bd6 7. O-O O-O 8. d4 Nc6 9. c3 Bf5 10. Nd2 Re8 11. Nf3 Qe7 12. Bd3 Bxd3 13. Qxd3 Qe4 14. Qb5 Ne7 15. Re1 Qf5 16. Qxb7 Ng6 17. Rxe8+ Rxe8 18. Qxa7 Qh5 19. Be3 Nh4 20. Nxh4 Qxh4 21. h3 f5 22. Qb7 f4 23. Bd2 f3 24. Qxf3 Re6 25. Qf4 Bxf4 26. g3 Bxg3 27. fxg3 Qxg3+ 28. Kh1 Re2 29. Bf4 Qg2# 0-1"
" Blitz ","saygans","arkandor","0-1","2016.07.01","13:04:18","1646","1773","-7.0","6.0","C44","Ponziani Opening","300+0","Normal","1. e4 e5 2. Nf3 Nc6 3. c3 Bc5 4. d4 exd4 5. cxd4 Bb4+ 6. Nc3 d6 7. d5 Bxc3+ 8. bxc3 Nce7 9. Bg5 Bg4 10. Be2 h6 11. Bh4 Qd7 12. a4 a5 13. Bb5 c6 14. dxc6 bxc6 15. Bc4 Ng6 16. Bg3 Nf6 17. Bxd6 Bxf3 18. Qxf3 Qxd6 19. O-O O-O 20. Rad1 Qf4 21. Qd3 Qxe4 22. Qxe4 Nxe4 23. Rd3 Ne5 24. Re3 Nxc4 25. Rxe4 Nd6 26. Re2 Rfe8 27. Rd2 Rad8 28. Rfd1 Nb7 29. Rxd8 Rxd8 30. Rb1 Nc5 31. Rb6 Rd1# 0-1"
" Blitz ","vermifugo","xoninhas","1-0","2016.07.01","13:04:14","1468","1709","20.0","-17.0","C00","Rat Defense: Small Center Defense","120+5","Normal","1. e4 { [%eval 0.14] } 1... e6 { [%eval 0.31] } 2. d4 { [%eval 0.19] } 2... d6 { [%eval 0.46] } 3. Bc4 { [%eval 0.12] } 3... Ne7 { [%eval 0.61] } 4. Nc3 { [%eval 0.53] } 4... Ng6 { [%eval 0.62] } 5. Qe2 { [%eval 0.29] } 5... Be7 { [%eval 0.4] } 6. Nf3 { [%eval 0.28] } 6... Nh4 { [%eval 0.53] } 7. O-O { [%eval 0.39] } 7... O-O { [%eval 0.54] } 8. Bf4 { [%eval 0.3] } 8... Ng6 { [%eval 0.47] } 9. Bg3 { [%eval 0.43] } 9... c6 { [%eval 0.46] } 10. d5?! { [%eval -0.05] } 10... e5 { [%eval 0.41] } 11. dxc6 { [%eval 0.09] } 11... Nxc6?! { [%eval 0.59] } 12. Rad1 { [%eval 0.43] } 12... Nf4?! { [%eval 1.15] } 13. Bxf4 { [%eval 1.0] } 13... exf4 { [%eval 1.25] } 14. e5 { [%eval 1.1] } 14... Qc7?? { [%eval 4.41] } 15. Nd5? { [%eval 1.94] } 15... Qd7 { [%eval 2.31] } 16. exd6?! { [%eval 1.39] } 16... Bxd6 { [%eval 1.18] } 17. Nxf4 { [%eval 1.01] } 17... Rd8? { [%eval 2.86] } 18. Bb5? { [%eval 0.82] } 18... Qf5?? { [%eval 5.66] } 19. Rxd6 { [%eval 5.56] } 19... Qxf4?? { [%eval #2] } 20. Rxd8+ { [%eval #1] } 20... Nxd8 { [%eval #1] } 21. Qe8# 1-0"
